episode,sentiment,homer,marge,bart,lisa,maggie
23/07,1.28,13,7,6,3,0
23/08,1.0526315789473684,1,1,1,0,1
23/09,0.7254901960784313,5,6,6,3,5
23/10,1.6119402985074627,15,5,0,5,0
23/11,0.9836065573770492,3,3,6,10,2
23/12,1.1,0,1,7,1,0
23/13,0.7790697674418605,1,2,3,11,0
23/14,0.8585858585858586,6,4,3,1,1
23/15,1.3235294117647058,2,11,8,0,0
23/16,0.7439024390243902,16,4,5,0,2
23/17,0.7127659574468085,8,0,1,1,0
23/18,0.9090909090909091,8,4,10,1,3
23/19,1.0208333333333333,2,2,9,6,0
23/20,1.0348837209302326,14,12,1,2,1
23/21,1.8333333333333333,10,7,5,1,1
23/22,1.096774193548387,6,5,1,32,1
24/01,1.5714285714285714,2,1,13,4,0
24/02,1.0253164556962024,11,8,1,2,0
24/03,0.8507462686567164,16,11,2,6,1
24/04,1.1,9,2,0,3,0
24/05,0.8928571428571429,5,0,4,10,0
24/06,1.2352941176470589,16,2,0,0,3
24/07,0.9523809523809523,3,4,4,5,3
24/08,0.9701492537313433,10,1,0,1,1
24/09,0.5963302752293578,11,3,4,2,1
24/10,1.0615384615384615,0,3,4,1,0
24/11,1.4444444444444444,9,13,1,1,0
24/12,1.2285714285714286,4,2,25,1,1
24/13,1.2777777777777777,7,1,9,5,5
24/14,0.7545454545454545,2,2,8,0,0
24/15,0.9102564102564102,12,3,0,14,0
24/16,1.25,1,0,4,1,3
24/17,2.08,7,14,2,6,2
24/18,1.1935483870967742,7,2,2,4,1
24/19,1.896551724137931,2,1,3,4,2
24/20,1.690909090909091,4,5,10,1,0
24/21,1.1904761904761905,3,0,0,0,0
24/22,1.381578947368421,8,17,3,1,1
25/01,0.9722222222222222,5,1,4,4,0
25/02,0.6039603960396039,0,5,10,5,0
25/03,0.9438202247191011,4,1,22,0,0
25/04,1.2058823529411764,17,2,6,2,0
25/05,1.5686274509803921,21,6,2,3,7
25/06,1.0,1,0,4,19,1
25/07,0.631578947368421,1,1,4,1,0
25/08,1.0389610389610389,4,9,5,0,2
25/09,0.9659090909090909,14,0,1,1,1
25/10,1.0,8,4,2,0,0
25/11,0.8823529411764706,14,19,5,2,4
25/12,1.2407407407407407,6,2,15,1,7
25/13,0.7291666666666666,2,8,2,10,0
25/14,0.7903225806451613,6,3,2,0,0
25/15,1.3529411764705883,10,7,3,8,0
25/16,1.2528735632183907,7,2,0,7,0
25/17,1.4444444444444444,12,7,5,11,2
25/18,1.0930232558139534,12,3,5,3,0
25/19,1.4545454545454546,5,0,6,0,2
25/20,0.96875,11,9,4,9,2
25/21,1.1896551724137931,10,8,0,16,1
25/22,1.0714285714285714,3,3,23,1,1
26/01,1.0434782608695652,2,0,0,4,0
26/02,1.108433734939759,15,6,11,1,0
26/03,1.109375,6,15,2,0,1
26/04,0.7386363636363636,10,6,7,1,1
26/05,0.8602150537634409,2,7,2,4,0
26/06,0.6074766355140186,13,3,6,2,3
26/07,0.7073170731707317,5,6,8,1,1
26/08,1.8153846153846154,3,3,0,2,0
26/09,1.3818181818181818,16,8,6,1,0
26/10,1.1940298507462686,9,2,1,2,5
26/11,1.0666666666666667,17,5,5,1,0
26/12,1.3714285714285714,8,2,2,1,1
26/13,1.4666666666666666,5,8,4,3,2
26/14,1.76,3,6,1,2,1
26/15,1.639344262295082,7,2,1,0,0
26/16,0.8157894736842105,7,8,0,0,0
26/17,1.378787878787879,9,7,1,2,0
26/18,1.0266666666666666,6,3,12,4,4
26/19,0.927710843373494,8,2,8,5,6
26/20,1.2876712328767124,8,1,5,0,0
26/21,1.163265306122449,16,2,6,1,0
26/22,2.3260869565217392,1,0,1,1,0
27/01,1.4583333333333333,19,18,4,4,2
27/02,0.7596153846153846,7,1,1,1,2
27/03,1.2307692307692308,2,3,1,1,3
27/04,0.7011494252873564,1,1,1,16,0
27/05,0.44565217391304346,1,0,12,2,0
27/06,1.4193548387096775,13,4,3,13,0
27/07,1.2162162162162162,7,5,0,7,0
27/08,1.0,1,3,24,8,1
27/09,1.3380281690140845,4,0,13,10,0
27/10,1.0449438202247192,6,5,1,9,0
27/11,1.621212121212121,4,6,15,3,0
27/12,1.3461538461538463,3,2,10,0,0
27/13,1.6727272727272726,5,7,1,2,0
27/14,1.3098591549295775,6,1,5,4,1
27/15,0.7394957983193278,2,10,4,15,0
27/16,1.05,6,7,5,11,0
27/17,1.52,4,6,0,3,0
27/18,1.3108108108108107,5,4,6,14,1
27/19,1.3653846153846154,11,4,6,2,1
27/20,1.2903225806451613,5,5,3,4,0
27/21,NaN,0,0,0,0,0
27/22,NaN,0,0,0,0,0
